,"Citations","Chemin","Conditions d'accès","Contact du support de l'outil","Description","Input","License","Lien vers l'outil","Mots clés","Output","Pré-requis d'utilisation","Système d'exploitation","Type de logiciel","Téléchargements","Version du logiciel","Visites annuelles","Visites uniques","Responsable scientifique","Titre"
"PhylGrid","3",,"Gratuit
",,"Distributed software for selecting regular and explorative oligonucleotide probes at large scale using a computing grid. This software can be used in various applications including in phylogenetic microarray experiments.
    Publications :
    Jaziri, F., Missaoui, M., Cipière, S., Peyret, P. and Hill, D.R.C (2011) Large Scale Parallelization Method of 16S rRNA Probe Design Algorithm on Distributed Architecture: Application to Grid Computing. Proceedings of the IEEE International Conference on Informatics and Computational Intelligence ICI2011, Bandung, Indonesia, 2011, 35-40.
    Jaziri, F., Peyretaillade, E., Missaoui, M., Parisot, N., Cipière, S., Denonfoux, J., Mahul, A., Peyret, P. and Hill, DRC (2014) Large scale explorative oligonucleotide probe selection for thousands of genetic groups on a computing grid: application to phylogenetic probe design using a curated small subunit ribosomal RNA gene database. Scientific World Journal, 2014: 9p.
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"GoArrays","3",,"Gratuit sur http://g2im.u-clermont1.fr/serimour/goarrays.html
",,"Microarray probe design application. It enables the design of specific probes of each gene in an entire genome, with an original approach. The use of specific microarray technology requires a very detailed attention for the design of specific probes spotted on the solid phase. These problems are far from being commonplace since they refer to complex physicochemical constraints. We propose a new approach to design oligonucleotides which combines good specificity with a potentially high sensitivity. This approach is original in the biological point of view as far as in the algorithmic point of view, and is particularly adapted when dealing with a complex target mixture (where it’s difficult to find specific sequences fo all genes).
    Publication :
    Rimour, S., D. Hill, C. Militon, and P. Peyret (2005) GoArrays: highly dynamic and efficient microarray probe design. Bioinformatics (Oxford, England) 21:1094-1103.
 
 
",,,"http://g2im.u-clermont1.fr/serimour/goarrays.html","Analyse de données de séquençage NGS",,,,,,,,,"PEYRET Pierre","AuBi"
"MetabolicDesign","2",,"Gratuit
",,"Algorithm, implemented in the user-friendly program Metabolic Design, to design efficient explorative probes. (téléchargeable).
    Publication :
    Terrat, S., E. Peyretaillade, O. Goncalves, E. Dugat-Bony, F. Gravelat, A. Mone, C. Biderre-Petit, D. Boucher, J. Troquet, and P. Peyret (2010) Detecting variants with Metabolic Design, a new software tool to design probes for explorative functional DNA microarray development. BMC Bioinformatics 11:478.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"KASpOD ","5",,"Gratuit sur http://g2im.u-clermont1.fr/kaspod/
",,"Program for designing signature sequences for various applications including in phylogenetic or functional microarray experiments.
 
Publication: Parisot, N., J. Denonfoux, E. Dugat-Bony, P. Peyret, and E. Peyretaillade (2012) KASpOD--a web service for highly specific and explorative oligonucleotide design. Bioinformatics (Oxford, England) 28:3161-3162.
",,,"http://g2im.u-clermont1.fr/kaspod/","Analyse de séquences, Génomique : Puces",,,,,,,"92 an",,"PEYRET Pierre","AuBi"
"HiSpOD","6",,"Gratuit sur http://g2im.u-clermont1.fr/hispod/index.php
",,"Software dedicated for the microbial ecology and environmental studies. The software use individual nucleic sequences or consensus sequences produced by multiple alignments to design degenerate probes in order to target gene families covering many exhaustive formatted database dedicated to microbial ecology containing about 10 million coding sequences (CDS) and their putative 5’ and 3’ untranslated regions (UTR). Potential cross-hybridizations identified by the program are clustered and results are organized in order to simplifyuser interpretation.
Publication : Dugat-Bony, E., M. Missaoui, E. Peyretaillade, C. Biderre-Petit, O. Bouzid, C. Gouinaud, D. Hill, and P. Peyret (2011) HiSpOD: probe design for functional DNA microarrays. Bioinformatics (Oxford, England) 27:641-648.
",,,"http://g2im.u-clermont1.fr/hispod/index.php","Analyse de séquences, Génomique : Puces",,,,,,,,"55 an","PEYRET Pierre","AuBi"
"PhylArray","8",,"Gratuit sur http://g2im.u-clermont1.fr/serimour/phylarray/
",,"Program for designing oligonucleotide probes (from 16S rRNA) for use in phylogenetic microarray experiments.
    
Publication :
    Militon, C., S. Rimour, M. Missaoui, C. Biderre, V. Barra, D. Hill, A. Mone, G. Gagne, H. Meier, E. Peyretaillade, and P. Peyret (2007) PhylArray: phylogenetic probe design algorithm for microarray. Bioinformatics (Oxford, England) 23:2550-2557.
 
",,,,,,,,,,,,,"PEYRET Pierre","AuBi"
"ADE-4","1993","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/PRABI.png","Freely available for download from any CRAN mirror.
",,"R library for multivariate analysis and graphical display. Full description available from the software home page.
",,,"http://pbil.univ-lyon1.fr/ADE-4/home?lang=eng","Biostatistiques, Analyses multivariées, Ecologie, Ecologie microbienne",,,,,,,,,"Perrière Guy","PRABI-Lyon-Grenoble"
"ACNUC","1350","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/PRABI.png","Freely downloadable software licensed under the GNU General Public License (http://doua.prabi.fr/databases/acnuc) or on-line access through a web interafce (http://doua.prabi.fr/search/query_fam).
",,"Sequence retrieval system for the nucleotide (GenBank, EMBL) and protein (UniProt) sequence databases and for many other systems following the same formats. Full description available froim the software home page.
",,,"http://doua.prabi.fr/databases/acnuc","Développements technologiques de l‘Information et de la Communication, Données, Bases de données et systèmes d’informations",,,,,,,,,"Perrière Guy","PRABI-Lyon-Grenoble"
"seqinR",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/PRABI.png","Freely available for download from any CRAN (Comprehensive R Archive Network) mirror.
",,"R library for sequence analysis. Full description available from the software home page.
",,,"http://pbil.univ-lyon1.fr/software/seqinr/home?lang=eng","Analyse de séquences, Annotation de séquences",,,,,,,,,"Perrière Guy","PRABI-Lyon-Grenoble"
"SeaView","3066","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/PRABI.png","Freely downloadable software licensed under the GNU General Public Licence.
",,"SeaView is a multiplatform, graphical user interface for multiple sequence alignment and molecular phylogeny. Full description available from the software home page.
",,,"http://doua.prabi.fr/software/seaview","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes",,,,,"21450",,,,"Perrière Guy","PRABI-Lyon-Grenoble"
"leBiBI","94","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/PRABI.png","Free online access.
",,"Online system (associated with various sequence databases) devoted to bacterial taxonomic identification.
",,,"https://umr5558-bibiserv.univ-lyon1.fr/lebibi/lebibi.cgi","Analyse de données de séquençage NGS, Métagénomique, métatranscriptomique",,,,,,,"154145 an",,"Perrière Guy","PRABI-Lyon-Grenoble"
"IntegronFinder","23","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","Integron_Finder is released under the GPLv3 license  and is available here: https://github.com/gem-pasteur/Integron_Finder
",,"IntegronFinder is a program that detects integrons in DNA sequences. The program is available on a webserver (galaxy), or by command line (IntegronFinder on github).
Integrons are major genetic element, notorious for their major implication in the spread of antibiotic resistance genes. More generally,  integrons are gene-capturing device, whose broader evolutionary role remains poorly understood. IntegronFinder is able to detect with high accuracy integron in DNA sequences. It is accurate because it combines the use of HMM profiles for the detection of the essential protein, the site-specific integron integrase, and the use of Covariance Models for the detection of the recombination site, the attC site.
IntegronFinder can also annotate gene cassettes (CDS nearby attC sites) using Resfams, a database of HMM profiles aiming at annotating antibiotic resistance genes. This database is provided but the user can add any other HMM profiles database of its own interest.
",,,"https://github.com/gem-pasteur/Integron_Finder","Annotation de séquences, Recherche de motifs",,,,,,,,,"Gascuel Olivier","DBC"
"SynTView",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png",,,"SynTView is a comparative and interactive viewer for microbial genomes, designed to run as either a web-based tool (Flash technology) or a desktop application (AIR environment). The basis of the program is a generic genome browser with sub-maps holding information about genomic objects (annotations). The software is characterised by the presentation of syntenic organisations of microbial genomes and the visualisation of polymorphism data (typically Single Nucleotide Polymorphisms — SNPs) along these genomes; these features are accessible to the user in an integrated way. A variety of specialised views are available and are all dynamically inter-connected (including linear and circular multi-genome representations, dot plots, phylogenetic profiles, SNP density maps, and more).
Documentation, tutorials and demonstration sites are available at the URL: http://genopole.pasteur.fr/SynTView
",,,,,,,,,,,,,"Gascuel Olivier","DBC"
"macsyfinder","23","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","freely available  (GPLv2)
",,"Detection of macromolecular systems in protein datasets using systems modelling and similarity search.
MacSyFinder is a program to model and detect macromolecular systems, genetic pathways in protein datasets. In prokaryotes, these systems have often evolutionarily conserved properties: they are made of conserved components, and are encoded in compact loci (conserved genetic architecture). The user models these systems with MacSyFinder to reflect these conserved features, and to allow their efficient detection.
Criteria for systems detection include component content (quorum), and genomic co-localization. Each component corresponds to a hidden Markov model (HMM) protein profile to perform homology searches with the program Hmmer .
 
Homepage : https://github.com/gem-pasteur/macsyfinder
",,,"https://github.com/gem-pasteur/macsyfinder","Analyse de séquences, Annotation de séquences",,,,,,,,,"Gascuel Olivier","DBC"
"fqtools",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/Logos_LogoIP-CNRS-C3BI-NBV2.png","access : free (GPLv2)
",,"fqtools is a package which provides tools to handle efficiently files in FASTAQ format.
The following tools are provided :
fqduplicate : retrieve duplicated entries
fqextract : extract entries
fqquality : filter a file according to the quality
ftp://ftp.pasteur.fr/pub/gensoft/projects/
",,,,,,,,,,,,,"Gascuel Olivier","DBC"
"SortMeRNA","507",,"SortMeRNA est distribué gratuitement sous licence LGPL.
",,"Objectif
SortMeRNA est un outil d'analyse de séquences biologiques pour le filtrage de données méta-transcriptomiques et méta-génomiques, le mapping et la sélection d'OTU (unité taxonomique opérationnelle). La principale application de SortMeRNA est le filtrage et le mapping d'ARN ribosomiques à partir de données NGS.
Description de l'outil
L'algorithme principal est basé sur des graines approchées, ainsi qu'une structure d'indexation de texte optimisée. Il permet des analyses rapides et sensibles de séquences nucléiques.
SortMeRNA prend en entrée un fichier de reads (au format fasta ou fastq) et un ou plusieurs fichier(s) de base(s) de données d'ARNr. Il en extrait les ARNr et les reads refusésdans 2 fichiers. Sur demande, il peut fournir des alignements locaux de haute qualité des reads d'ARNr contre les ARNr des bases de données. SortMeRNA fonctionne avec des données Illumina, 454, Ion Torrent et PacBio et produit en sortie des alignements de type SAM ou Blast. Il est implémenté en C++.
",,,"http://bioinfo.lifl.fr/RNA/sortmerna/","Analyse de séquences",,,,,,,,,"Marot Guillemette, Touzet Hélène","bilille"
"Vidjil","25",,"Vidjil est open-source, sous la licence GNU GPLv3 (code disponible sur GitHub). Le browser peut-être utilisé via le web et une version en ligne de commande peut-être téléchargée (cf. page d'accueil).
",,"Objectif
Vidjil est une plate-forme logicielle open-source dédiée à l'analyse de données de séquençage haut-débit issues de lymphocytes. Les recombinaisons V(D)J dans les lymphocytes sont essentielles pour la diversité immunologique. Ils sont aussi des marqueurs utiles de pathologies et, pour la leucémie, ils sont utilisés pour quantifier le minimum résiduel de la maladie pendant la phase de rémission du patient. Le séquençage Haut-Débit (NGS/HTS) permet maintenant le séquençage exhaustif des populations lymphoïques avec des méthodes dédiées de Rep-Seq et les logiciels associés.
Description de l'outil
Vidjil est constitué de 3 parties : un algorithme, un visualisateur et un serveur qui permettent l'analyse de populations lymphocitaires qui contiennent des recombinaisons V(D)J.
L'algorithme haut-débit de Vidjil extrait les jonctions V(D)J et les regroupe en clones. Cette analyse est basée sur une heuristique à base de graine espacées et est rapide et évolutive, puisque, dans la première phase, aucun alignement n'est réalisé sur les séquences initiales de la base de données. Chaque séquence est assignée à un cluster selon sa jonction V(D)J. Puis, une séquence représentative de chaque cluster est calculée en un temps linéaire par rapport à la taille du cluster. Pour finir, nous réalisons un alignement complet par programmation dynamique de cette séquence représentative contre les séquences initiales.
Vidjil contient également un navigateur dynamique (en D3JS) pour visualiser et analiser les clones et leur évolution au cours du temps.
",,,"http://www.vidjil.org/","Analyse de données de séquençage NGS",,,,"Web interface, Command-line",,,,,"Marot Guillemette, Touzet Hélène","bilille"
"PepPSY",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Accès libre
",,"PepPSy has been developed as a user-friendly gene expression-based prioritization system, to help investigators to determine in which human tissues they should look for an unseen protein and curators to quickly look at available transcriptomics/proteomics data for a list of proteins.
",,,"http://peppsy.genouest.org/","Prédiction d'homologie/orthologie, Comparaison des voies fonctionnelles et régulatrices, Protéogénomique",,,,,,,,,"Nicolas Jacques","GenOuest "
"BioShaDock",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Accès libre sur docker-ui.france-bioinformatique.fr 
",,"BioShaDock is a bioinformatics-focused Docker registry, which provides a local and fully controlled environment to build and publish bioinformatic software as portable Docker images. It provides a number of improvements over the base Docker registry on authentication and permissions management, that enable its integration in existing bioinformatic infrastructures such as computing platforms. The metadata associated with the registered images are domain-centric, including for instance concepts deﬁned in the EDAM ontology, a shared and structured vocabulary of commonly used terms in bioinformatics. The registry also includes user deﬁned tags to facilitate its discovery, as well as a link to the tool description in the ELIXIR registry if it already exists.
",,,"http://docker-ui.france-bioinformatique.fr/","Développements technologiques de l‘Information et de la Communication, Outils, Intégration d'outils, Environnements de calcul, Cluster, Cloud",,,,,,,,,"Nicolas Jacques","GenOuest "
"GO-Docker",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Téléchargement libre : http://www.genouest.org/godocker/index.html
",,"It is a cluster management tool using Docker as execution/isolation system. The software does not manage however itself the dispatch of the commands on the remote nodes. For this, it integrates with container management tools (Docker Swarm, Apache Mesos, ...)
",,,"https://godocker.genouest.org","Développements technologiques de l‘Information et de la Communication, Environnements de calcul, Cluster, Cloud",,,,,,,,,"Nicolas Jacques","GenOuest "
"BioMAJ2Galaxy",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Téléchargement libre : https://github.com/genouest/biomaj2galaxy
",,"BioMAJ2Galaxy makes it possible to configure BioMAJ to automatically download some reference data, to then convert them and/or index it in various formats, and then make this data available in a Galaxy server using data libraries or data managers.
",,,"https://github.com/genouest/biomaj2galaxy","Gestion et transfert de données, Bases de données et systèmes d’informations",,,,,,,,,"Nicolas Jacques","GenOuest "
"BioMAJ ","11","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Téléchargement libre : https://github.com/genouest/biomaj
",,"
BioMAJ (BIOlogie Mise A Jour) is a workflow engine dedicated to data synchronization and processing.
The software automates the update cycle and the supervision of the locally mirrored databank repository.
The software is free and released under AGPL v3 based licence.

",,,"http://biomaj.genouest.org/","Données, Gestion et transfert de données",,,,,,,,,"Nicolas Jacques","GenOuest "
"ReproGenomics Viewer","4","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logoGO-aplatCMJN_format55px.png","Accès libre
http://rgv.genouest.org/
",,"The ReproGenomics Viewer (RGV) is a cross-species genomic toolbox for the reproductive community. The system is based on the implementation of a JBrowse genome browser and a Galaxy bioinformatics workflow environment.
Mis en place en 2015
",,,"http://rgv.genouest.org/","Génomique comparative, Comparaison des voies fonctionnelles et régulatrices",,,,,,,,,"Nicolas Jacques","GenOuest "
"EASEA Cloud",,,"Téléchargeable sur le site Web d'EASEA
",,"EASEA (EAsy Specification of Evolutionary Algorithms) est une plateforme d'évolution artificiellepour implémenter des algorithmes d'évolution.
",,,,,,,,,,,,,"Thompson Julie","BIstrO"
"VaRank",,,"Téléchargeable via le site Web
",,"Workflow pour l'analyse et l'ordonnancement des SNVs et indels issus de données de séquençage haut débit.
",,,"http://www.lbgi.fr/VaRank/","Analyse de données de séquençage NGS",,,,,,,,,"Thompson Julie","BIstrO"
"GETEC",,,"Models available at http://icube-bioinfo.u-strasbg.fr/webMathematica/GETEC/Accueil.jsp
",,"Genome Evolution by Transformation, Expansion and Contraction.
",,,,,,,,,,,,,"Thompson Julie","BIstrO"
"PipeAlign",,,"Accès web.
",,"Outil pour l'analyse des familles de protéines.
",,,"http://galaxy.bioinfo-bistro.fr/galaxy/","Analyse de séquences",,,,,,,,,"Thompson Julie","BIstrO"
"OrthoInspector",,,"Téléchargeable.
",,"Outil pour la détections des relations orthologues et inparalogues.
",,,"http://bioinfo-bistro.fr/orthoinspector/","Analyse de séquences",,,,,,,,,"Thompson Julie","BIstrO"
"PepTeam",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Public.
",,"PepTeam est un outil de découverte de biomarqueurs à partir de l'analyse in vivo des banques de phages display qui ont été séquencées par NGS.
",,,"https://github.com/cbib/pepteam","Analyse de séquences, Algorithmique des séquences, Recherche de motifs",,,,,,,,,"Nikolski Macha","CBiB"
"xHeinz","4","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/cbib.jpg","Software website: https://software.cwi.nl/software/xheinz 
",,"xHeinz est un outil qui trouve des modules optimaux conservés entre deux espèces.
",,,"https://github.com/ls-cwi/xheinz","Biologie des systèmes, Analyse et modélisation multi-échelle, Génomique comparative, Comparaison des voies fonctionnelles et régulatrices",,,,,,,,,"Nikolski Macha","CBiB"
"LoRDEC","20","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit depuis le site web de la plateforme.
",,"Accurate and efficient long read error correction
",,,"http://www.atgc-montpellier.fr/lordec/","Analyse de données de séquençage NGS, Méthodologie, Alignements de lectures sur des génomes, Génomique (DNA-seq), Transcriptomique (RNA-seq)",,,,,,,,,"Rivals Eric, Guindon Stéphane","ATGC"
"CompPhy","1","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/ATGC-logo-col-trp-200.png","Gratuit via le site web de la plateforme.
",,"A web-based collaborative platform for comparing phylogenies
",,,"http://www.atgc-montpellier.fr/compphy/","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes, Phylogénomique, Super-arbres et réconciliations",,,,,,,,,"Rivals Eric, Guindon Stéphane","ATGC"
"HHalign-Kbest","2","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"HHalign-Kbest is useful to automatically obtain optimized alignments and models in case of low sequence identity (",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/HHalign-Kbest/","Bioinformatique structurale, Modélisation comparative et de novo de structures",,,,,,,"260 an","70 an","Tufféry Pierre","RPBS"
"MTiAutoDock/MTiOpenScreen","14","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"MTiAutoDock and MTiOpenScreen are two services dedicated to small molecule docking and chemical library virtual screening.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/MTiOpenScreen/","Bioinformatique structurale, Criblage virtuel, Librairies de petits composés chimiques, 2D/3D, ADME/tox, Criblage basé sur la structure",,,,,,,"5100 an","1000 an","Tufféry Pierre","RPBS"
"BCSearch","2","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"BCSearch is a fast and flexible approach to identify linear fragments similar to a query in large collections of structures. It addresses two basic questions:
Among a subset of structures, what sequences are compatible with the conformation of my query ?
Are there conformations similar to my query in other proteins ? Is it observed elsewhere ?
BCSearch is based on a new similarity approach, based on a Binet Cauchy (BC) kernel. The approach measures the correlation between the volumes of all the tetraedron of the query and that of a target. The similarity (BCscore) is scored between -1 and 1, where a value of 1 corresponds to the exact same conformation than the query, and -1 to the mirror conformation. Values close to 0 correspond to unrelated fragments. The BCscore is more stringent than other criteria such as the alpha carbon RMS deviation. Particularly, fragments with partly dissimilar shapes are poorly scored and consequently collections of matches are usually less noisy, which makes them better suited for the analysis of the local structure-sequence relationship. In addition, since no superimposition is required, the similarity search is very fast, making possible to mine large collections of structures.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/BCSearch/","Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"140 an","60 an","Tufféry Pierre","RPBS"
"RGCCA/SGCCA",,,"RGCCA est disponible dans le dépôt CRAN (Comprehensive R Archive Network).
",,"RGCCA (Regularized Generalized Canonical Correlation Analysis – Psychometrika 2011, 76(2):257–284) et son extension parcimonieuse (SGCCA – Biostatistics 2014, 15(3):569–83) sont des méthodes multivariées reposant sur la modélisation des relations entre blocs de variables ou groupes d’individus, et permettant l’analyse intégrative de données hétérogènes et de grandes dimensions.
",,,,,,,,,"3708",,,,"DURRLEMAN Stanley","iCONICS"
"ORDO","39","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_orphanet_inserm.png","


Téléchargement en accès libre sur Orphadata.org,
Téléchargement et utilisation possible à partir de Bioportal.
Mise à disposition d’un sparql EndPoint.



",,"


Orphanet Rare Disease Ontology: Nomenclature, classifications et données scientifiques sur les maladies rares exploitable sous la forme d’une ontologie au format OWL. Réalisation en partenariat avec le European Bioinformatics Institute (EBI ; Contact Helen Parkinson). Mise à disposition en janvier 2014.



",,,"http://www.orphadata.org/cgi-bin/inc/ordo_orphanet.inc.php","Apprentissage automatique, Extraction de connaissances, Intégration de données hétérogènes, Représentation des connaissances, Ontologies, Web sémantique, Curation de collections de données, Développements technologiques de l‘Information et de la Communication, Outils, Intégration d'outils, Données, Intégration de données, Bases de données et systèmes d’informations",,,,,"6741",,,,"Rath Ana","Orphanet"
"TBrower (TranscriptomeBrowser)","42",,"Logiciel libre d'accès sur http://tagc.univ-mrs.fr/tbrowser
",,"Ce logiciel, écrit en Java, est un outil graphique dédié à la fouille de données biopuces. Il permet de rechercher les contextes biologiques dans lesquels un ensemble de gène est co-régulé. La recherche s'appuie sur une base de données contenant des signatures transcriptionnelles (environ 31000) isolées par l'algorithme DBF-MCL dans environ 3000 jeux de données de biopuces. TBrowser dispose d'un moteur de recherche évolué permettant d'effectuer des recherches booléennes complexes avec en entrée un ensemble d'identifiants de gènes (symbole, Entrez ID, sondes affymetrix, ...) ou de termes d'annotation (GO, KEGG, ...).
TBrowser est un outil extensible via une architecture de plugins. L'un des pluings, InteractomeBrowser, permet de contextualiser un ensemble de gènes en générant une treemap reflétant l'arborescence de l'ontologie GO 'cellular components'. Il permet par ailleurs de recherche des intéractions prédites ou validées expérimentalement dans une base de données contenant plus de 1,5*106 intéractions.
 
",,,,,,,,,,,"1600 an",,"Nguyen Catherine","TAGC-BCF"
"GeVarA (Genome Variant Analyser)",,,"Tout client de la PF, dans le cadre d'une prestation de recherche de variants, peut utiliser GeVarA. Le logiciel est fourni, avec les données de séquençage, sur un support externe (clef ou disque dur USB).
",,"Ce logiciel, écrit en Java, est un outil graphique dédié à la visualisation et à l'analyse des résultats produits par le pipeline de recherche de variants mis en oeuvre sur la PF. GeVarA est basé sur la notion de projet regroupant un ensemble d'échantillons. Au sein d'un projet, l'utilisateur peut sélectionner les variants sur la base de leur absence ou de leur présence dans les échantillons, à l'état homo ou hétérozygote. Les variants obtenus sont ensuite filtrés en fonction de divers critères tels que la couverture, l'hétérozygosité, la présence dans dbSNP ou le déséquilibre de brin. Les alignements correspondant aux variants sélectionnés peuvent ensuite être visualisés, grâce à l'intégration du logiciel IGV dans GeVarA, afin de juger de leur qualité. Enfin, des liens vers dbSNP, Ensembl et UCSC Génome Browser sont proposés pour documenter les variants et les gènes impactés.
",,,,,,,,,,,"10 an",,"Nguyen Catherine","TAGC-BCF"
"ReMap","25",,"Libre à partir de http://tagc.univ-mrs.fr/remap
",,"ReMap est une analyse intégrative de toutes les données ChIP-Seq de facteur de transcription, données publiques (GEO, ArrayExpress) et non-ENCODE. A cela, et pour complémenter notre catalogue, nous avons ajouté les données d'ENCODE.
Nous obtenons un catalogue d'environ 9 millions de sites de fixation au travers de 234 facteurs de transcription. Toutes ces données sont disponibles sur le site ReMap.
",,,"http://tagc.univ-mrs.fr/remap/","Analyse de données de séquençage NGS, Curation de collections de données",,,,,,,"17570 an","5246 an","Nguyen Catherine","TAGC-BCF"
"Clust&See","28",,"Libre sur http://tagc.univ-mrs.fr/tagc/index.php/clustnsee et sur l'App store de Cytoscape http://apps.cytoscape.org/apps/clustnsee.
",,"Clust&See est un plug-in Cytoscape dans lequel plusieurs algorithmes de partitionnement de graphes et OCG sont implémentés. Il permet d'identifier, de visualier et d'analyser les classes de sommets obtenus. La partition obtenue est visualisée sour la forme d'un graphe quotient. Cet outil permet d'étudier en détail les liens entre sommets, arêtes, classes et partitions.
",,,"http://apps.cytoscape.org/apps/clustnsee","Biologie des systèmes, Fonctionnement des systèmes biologiques complexes, Analyse et modélisation multi-échelle",,,,,"1284",,,,"Nguyen Catherine","TAGC-BCF"
"OCG","79",,"Téléchargement du code source à partir de http://tagc.univ-mrs.fr/tagc/index.php/research/network-bioinformatics/c...
",,"OCG est un algorithme d'analyse de graphes qui identifie des classes chevauchantes de sommets par optimisation de la modularité de l'ensemble des classes.
",,,"http://tagc.univ-mrs.fr/tagc/index.php/software/ocg","Fonctionnement des systèmes biologiques complexes, Analyse et modélisation multi-échelle",,,,,,,,,"Nguyen Catherine","TAGC-BCF"
"Regulatory Sequence Analysis Tools (RSAT)","2819",,"Accès libre sous cinq modalités:
Interface Web RSAT (http://www.rsat.eu) et NeAt (htpp://neat.rsat.eu)
En ligne de commandes (suite téléchargeable localement)
Services Web (SOAP/WSDL)
Machines virtuelles accessibles à partir du cloud IFB (Web + ligne de commande + web service)
En développement interface Galaxy pour certains outils spécialisés dans l'analyse des données ChIP-Seq
",,"Regulatory Sequence Analysis Tools (RSAT), a software suite dedicated to the detection of cis-regulatory elements in genomic sequences.
",,,"http://rsat.eu/","Génomique (DNA-seq), Chip-seq, Algorithmique des séquences, Recherche de motifs, Tests statistiques, Comparaison des voies fonctionnelles et régulatrices",,,,,,,"180000 an",,"Nguyen Catherine","TAGC-BCF"
"SA-Frag",,"https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"SA-Frag is a service that will, given an amino acid sequence, return 3D fragments predicted to match the various positions of the sequence. SA-Frag will thus return an alignement of the fragments identified with the query and a collection of 3D structures corresponding to the fragments in the PDB format.
",,,,,,,,,,,"340 an","26 an","Tufféry Pierre","RPBS"
"wwLig-CSRre","11","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"wwLigCSRre is intended for searching banks for compounds similar to a query, based on both coordinates and physico-chemical properties of atoms.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/wwLigCSRre/","Bioinformatique structurale, Analyse des structures, recherche d'homologues et de motifs structuraux",,,,,,,"310 an","170 an","Tufféry Pierre","RPBS"
"fpocket","345","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"Service en ligne libre d'accès.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/fpocket/","Bioinformatique structurale, Prédictions des propriétés structurales",,,,,,,"2470 an","960 an","Tufféry Pierre","RPBS"
"SABBAC","67","https://www.france-bioinformatique.fr/sites/default/files/plateforme-logo/logo_RPBS_50x50.png","Service en ligne en accès libre.
",,"SABBAC is an on-line service devoted to protein backbone reconstruction from alpha-carbon trace. It is based on the assembly of fragments issued from library of reduced size, resulting from the encoding of the protein trace in an HMM-derived structural alphabet.
",,,"http://bioserv.rpbs.univ-paris-diderot.fr/services/SABBAC/","Bioinformatique structurale, Modélisation comparative et de novo de structures",,,,,,,"640 an","130 an","Tufféry Pierre","RPBS"
