"Nom de la formation","Chemin","Type de formation","Cours résumé","Description","Mots clés","Date de la session","Date de la session","Conditions d'accès à la formation","Lien vers la formation","Lieu de la formation","Organisateurs","Sponsors","Nombre de personnes formées","Nombre de participants académiques","Nombre de participants non-académiques","Nombre de jours","Participation","Niveau de formation (formations universitaires uniquements)","Opérateur de la formation","Nombre de sessions","Reccurance","Taux de satisfaction des apprenants","Temps de formation","Thème (formations professionnelles uniquement)"
" Analyse de données génomiques et post-­‐génomiques",""," Formation professionnelle","","Formation annuelle  des  Hospices  Civils  de  Lyon,  organisée  par  l’EBS/SB-­HCL/PRABI sur deux jours, en partenariat avec la  plateforme de protéomique de Dijon.
","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","","","","","","","Analyse des données NGS"
" Licence Professionnelle de Biotechnologies spécialité génomique",""," Formation universitaire","","Intervention sous la responsabillté du Pr Joël Lachuer
","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","Licence","","","","","",""
"Introduction à l’analyse des données de grande dimension",""," Formation universitaire","","Cours d’introduction à l’analyse des données de grande dimension dans le cadre de l’enseignement de Biomédecine quantitative en 3ème année de médecine (responsable Pr Pascal Roy).
","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","","","","",""
"M2 « BioStatistique, BioInformatique, BioMathématique en Santé (B3S) » ",""," Formation universitaire","","DU master de Santé Publique (responsables Pr Pascal Roy, Dr Delphine Maucort-­‐Boulch)
","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","Master (M2 uniquement)","","","","","",""
"M2 « Technologies à Haut Débit en Cancérologie »",""," Formation universitaire",""," DU master de Cancérologie (Responsable Dr Claire Bardel)
","Aucun des termes ci-dessus ne convient","","","","http://www.france-bioinformatique.fr","","","","","","","","","Master (M2 uniquement)","","","","","",""
"Analysis of NGS data with R",""," Formation professionnelle","","https://cnrsformation.cnrs.fr/stage-19025-Analyses-NGS-avec-R.html?axe=98
","Génomique (DNA-seq), Transcriptomique (RNA-seq), Analyse de variants, Extraction de connaissances, Tests statistiques, Statistique génétique","","23-05-2019","Formation payante au catalogue CNRS.
","https://cnrsformation.cnrs.fr/pdf/16147.pdf","CBiB","","","20/ an","","","4.00","","","CNRS","2","Oui","","6 jours / an","Analyse des données NGS, Analyse des données RNAseq, Langage R"
"Advanced sequence analysis",""," Formation professionnelle","","https://cnrsformation.cnrs.fr/stage-19019-Analyse-avancee-de-sequences.h...
","Génomique (DNA-seq), Transcriptomique (RNA-seq), Analyse de variants, Algorithmique des séquences, Alignement (multiple) de séquences, Annotation de séquences, Recherche de motifs","","14-05-2019","Formation payante au catalogue CNRS.
","https://cnrsformation.cnrs.fr/pdf/16148.pdf","CBiB","","","20/ an","","","6.00","Payante","","CNRS","1","Oui","","6 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq, Bioinformatique & Biomédicale"
"Algorithms for bioinformatics",""," Formation universitaire","","Cours d'initiation aux algorithmes pour la bioinformatique, dispensé aux étudiants en Master 2 Recherche à l'Université de Bordeaux.
","","","","","","","","","27/ an","","","","","Master (M2 uniquement)","","","Oui","","10 jours / an",""
"NGS data analysis",""," Formation universitaire","","Cours d'initiation à l'analyse de données NGS (filtrage qualité, assemblage, mapping, détection de variants) dispensé aux étudiants en Master 2 Recherche Bioinformatique à l'Université de Bordeaux.
","","","","","","","","","16/ an","","","","","Master (M2 uniquement)","","1","Oui","","3 jours / an","Analyse des données NGS"
"Linux/Unix","https://www.france-bioinformatique.fr/sites/default/files/bioinfo_logo-RVB_3.jpg"," Formation professionnelle","This training session has been designed to familiarize yourself with the platform resources and its organization.","Cette formation présente les points suivants : comment   accéder   à   la   plate­‐forme,   comment   utiliser   un environnement Unix, comment créer et manipuler et transférer des fichiers en ligne de commande de votre ordinateur à notre cluster et réciproquement. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Cluster","","14-10-2019","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/linux-2/","Auzeville-Tolosane","Genotoul bioinfo platform","","10/ an","10","1","1.00","Payante","","plateforme","1","Oui","100%","1 jours / an","Linux"
"Cluster","https://www.france-bioinformatique.fr/sites/default/files/bioinfo_logo-RVB_4.jpg"," Formation professionnelle"," You will learn to deal with the platform compute cluster and data banks.","Cette formation explique comment on se sert du cluster et des banques de données installées sur la plate-forme. Vous apprendre comment   lancer   des   jobs   sur   le  cluster en parrallèle et comment suivre leur exécution. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Cluster","","15-10-2019","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé
","http://bioinfo.genotoul.fr/index.php/events/cluster-2/","Auzeville-Tolosane","Genotoul bioinfo platform","","10/ an","12","1","1.00","Payante","","plateforme","1","Oui","100%","1 jours / an","Linux"
"Read alignment and SNP calling",""," Formation professionnelle","","Cette  formation permet de découvrir les formats de sortie des séquenceurs nouvelle génération, les nouveaux formats d’assemblage et les biais connus de ces technologies. Au cours de cette formation, les apprenants génère un alignement sur un génome de référence, détecte le polymorphisme (avec GATK) et visualise l’alignement. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Génomique (DNA-seq), Analyse de variants","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé
","http://bioinfo.genotoul.fr/index.php/events/alignment-and-small-size-variants-ca...","Auzeville-Tolosane","","","20/ an","","","2.00","Payante","","","2","Oui","","2 jours / an","Analyse des données NGS"
"RNASeq alignment and transcripts assemblies with statistics",""," Formation professionnelle","RNAseq analysis with stats","Nous faisons, au cours de cette formation, un rappel sur les formats de  sortie  de  séquenceurs   nouvelle   génération   et  les  biais connus de ces technologies. Les apprenants génèrent ensuite un alignement épissé, découvre de nouveaux gènes et transcripts et en quantifie leur expression. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul, Sigenae et l'unité MIAT.
","Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/rnaseq-alignment-transcripts-assembl...","Auzeville-Tolosane","Genotoul bioinformatics platform, in collaboration with the Genotoul Biostatistics platform, the Sigenae team and the MIAT unit","","20/ an","6","0","3.50","Payante","","","2","Oui","100%","2 jours / an","Analyse des données NGS, Analyse des données RNAseq"
"sRNASeq",""," Formation professionnelle","","Lors de cette formation, après une présentation des  formats, nous abordons le nettoyage des séquences, l’alignement sur un génome de référence, la détection et l’annotation des miRNA connus et non encore répertoriés et la quantification de leur expression. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae et l'unité MIAT.
","Petits et longs ARN non-codants","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/srnaseq/","Auzeville-Tolosane","","","10/ an","","","","","","","1","Oui","","1 jours / an","Analyse des données NGS, Analyse des données RNAseq"
"RNAseq de novo assembly",""," Formation professionnelle","","Cette  formation  présente les méthodes et les outils d’assemblage de données RNASeq (lectures courtes) sans génome de référence. Les apprenants effectue  le  pré-­‐traitement,   utilise  un  assembleur  et   testent différentes  stratégies  d’assemblage.  Nous  présentons  ensuite différents   indicateurs   de   qualité   de   l’assemblage   afin   de pouvoir choisir le meilleur. Organisée en collaboration avec la plateforme Sigenae.
","Transcriptomique (RNA-seq), Analyses de transcrits et transcrits variants, Annotation de séquences","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/rnaseq-de-novo-assembly-2/","Auzeville-Tolosane","","","10/ an","17","","1.00","Payante","","PF Bioinfo genotoul","1","Oui","100%","0 jours / an","Analyse des données NGS, Analyse des données RNAseq"
"Sequences alignment and phylogeny ",""," Formation professionnelle","","Il  s’agit  d’une initiation à l’étude de l’évolution des séquences. Cette formation ne nécessite pas de connaître la ligne de commande. Les apprenants, au cours de cette journée, constituent leur set de données, effectuent l’alignement, le vérifient et le corrigent. Cette première étape conditionne l'obtention d'un arbre de bonne qualité. Organisée par le CATI Bios4Biol.
","","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/sequences-alignment-phylogeny/","Auzeville-Tolosane","","","10/ an","","","","","","","1","Oui","","1 jours / an",""
"Methods for phylogenetics trees construction",""," Formation professionnelle","","Au cours de cette formation, nous présentons les différents modèles d’évolution de séquences et comment choisir celui qui convient le mieux. Nous présentons aussi les différentes méthodes d’inférence phylogénétique ainsi que les tests de robustesse de l’arbre. Organisée par le CATI Bios4Biol.
","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/methods-for-phylogenetic-trees-const...","Auzeville -Tolosane","","","10/ an","","","","","","","1","Oui","","1 jours / an","Phylogénie"
"Phylogenomy and selection pressure ",""," Formation professionnelle","","
il s’agit de deux demi-­journées  séparées.  Une  demie-‐journée   sur  les  aspects phylogénomiques   et  une  demi-­journée   sur  la   détection   de pression  de sélection.  Sur les aspects  phylogénomiques  nous traiterons des problèmes liés à  l’échantillonnage  des gènes et des espèces et nous mettrons  en oeuvre différentes méthodes d’inférence  phylogénomiques  basées  sur les séquences.  Nous discuterons des méthodes basées sur d’autres caractéristiques génomiques. Organisée par le CATI Bios4Biol.
La  partie  consacrée  à  la  détection  de  sélection dans un alignement de séquences se fera avec le logiciel PAML4.

","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes, Phylogénomique, Détection de sélection","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/phylogenomics-and-selection-pressure...","Auzeville-Tolosane","","","10/ an","","","","","","","1","Oui","","1 jours / an","Phylogénie"
"Galaxy : first step",""," Formation professionnelle","","Le programme de cette introduction à Galaxy est le suivant : présentation de Galaxy, se connecter à l’instance toulousaine, commencer à utiliser certains outils bioinformatiques standards, la gestion des fichiers dans galaxy. Découvrir les bonnes pratiques dans Galaxy. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Analyse de données de séquençage NGS, Interfaces, portails web","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/first-step-with-galaxy/","Auzeville-Tolosane","SIGENAE platform","","20/ an","","","1.50","Payante","","","2","Oui","","2 jours / an","Framework Galaxy"
"Galaxy : Reads alignment and SNP calling",""," Formation professionnelle","formats, mapping, variants calling with Galaxy","idem formation ligne de commande mais avec galaxy. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Analyse de données de séquençage NGS, Génomique (DNA-seq), Analyse de variants","","08-10-2018 to 09-10-2018","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/reads-alignment-and-small-size-varia...","Auzeville-Tolosane","SIGENAE platform","","20/ an","","","2.00","Payante","","","2","Oui","","2 jours / an","Analyse des données NGS, Framework Galaxy"
"Galaxy : RNASeq alignment and transcripts assemblies",""," Formation professionnelle","","idem formation ligne de commande mais avec galaxy. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Analyse de données de séquençage NGS, Transcriptomique (RNA-seq), Analyse différentielle de l’expression des gènes, Analyses de transcrits et transcrits variants","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/rnaseq-alignment-and-transcripts-ass...","Auzeville-Tolosane","","","20/ an","","","","","","","2","Oui","","2 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Galaxy : sRNAseq",""," Formation professionnelle","","idem formation ligne de commandes mais avec Galaxy. Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","Petits et longs ARN non-codants","","","S’inscrire (via le site web) et payer 165 euros la journée pour un académique et 550 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php/events/srnaseq/","","","","10/ an","","","","","","","1","Oui","","1 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Galaxy: metagenomic: sequence analysis of amplicons from MiSeq and 454 sequencing with FROGS with Galaxy first step and statistics",""," Formation professionnelle","","Cette  formation vous permettra de nettoyer les reads, les clusteriser,  de faire l'affiliation taxonomique,  ainsi que de mettre en oeuvre certaines statistiques descriptives. Organisée par le CATI Bios4Biol.
","","","","Avoir un compte sur la plateforme Bioinfo Genotoul (demande via un formulaire web sur le site), s’inscrire (via le site web) et payer 150 euros la journée pour un académique et 500 euros la journée pour un privé.
","http://bioinfo.genotoul.fr/index.php?id=10","","","","10/ an","","","","","","","1","Oui","","1 jours / an","Framework Galaxy"
"Master Bioinfo Toulouse ",""," Formation universitaire","","Cette formation est issue d'une collaboration entre les plateformes Bioinfo Genotoul et Sigenae.
","","","","","","","","","12/ an","","","","","Master","","1","Oui","","6 jours / an",""
"Formation de chercheurs",""," Formation professionnelle",""," lors de Workshop (organisation de séances de travaux pratiques)
 pour des formations individuelles
","","","","Gratuit
","","","","","","","","","","","","","","","","Metagénomique"
"Formation des post-doctorants",""," Formation professionnelle","","Pour la recherche et l’annotation des IS.
","","","","Gratuit
","","","","","","","","","","","","","","","","Metagénomique"
"Phylogénie moléculaire",""," Formation professionnelle","La plateforme ATGC organise une formation en phylogenie moleculaire a Montpellier sur 5 jours","
Les objectifs sont :
1. Acquérir des connaissances théoriques et pratiques en phylogénie moléculaire.
2. Être autonome dans la conduite d'une analyse phylogénétique.
3. Maîtriser le choix, le paramétrage et l'exploitation des résultats des programmes de phylogénie.
Les inscriptions se font sur le site web de la formation ou aupres de CNRS Formation. Lors de votre inscription, vous recevrez un questionnaire qui nous permettra d'evaluer votre niveau. Merci de nous le retourner directement (lefort@lirmm.fr).
Pour toute information complementaire (public vise, niveau, cout, ...), merci de contacter Vincent Lefort (lefort@lirmm.fr).

","Evolution et phylogénie, Evolution moléculaire, Gènes et génomes, Datation des spéciations, Phylogénomique, Super-arbres et réconciliations, Détection de sélection","","07-10-2019 to 11-10-2019","S'acquitter des frais d'inscription, être familiarisé avec les banques de données de séquences, avoir déjà utilisé les logiciels de base en bioinformatique, connaître les notions de base en statistiques (tests, lois probabilistes usuelles, méthodes simples d'estimation de paramètres), avoir des notions de programmation.
","http://cnrsformation.cnrs.fr/stage-17007-Phylogenie-moleculaire-%28Montpellier%2...","Montpellier","","","12/ an","","","","","","","1","Oui","","5 jours / an","Phylogénie"
"Bioinformatique pour le traitement de données de séquençage (NGS)",""," Formation professionnelle","Bioinformatics for NGS data analysis","
Les objectifs sont :
- Comprendre les principes des méthodes d'analyse de données de séquençage à haut débit
- Comprendre les résultats obtenus, les paramètres et leur impact sur les analyses
- Savoir choisir et utiliser les principaux outils d'analyse
- Etre autonome pour utiliser un pipeline d'analyse
- Savoir manipuler les fichiers de séquences : préparation et filtration
- Savoir évaluer la qualité des données
- Savoir analyser les résultats avec ou sans génome de référence

","Analyse de données de séquençage NGS, Méthodologie, Assemblage de génomes et transcriptomes, Alignements de lectures sur des génomes, Génomique (DNA-seq), Transcriptomique (RNA-seq), Analyse de variants, Génomes complets","","25-03-2019 to 29-03-2019","S'acquitter des frais d'inscription, notions de base en informatique : fichiers, répertoire..., notions du système linux et des lignes de commandes, niveau master
","http://cnrsformation.cnrs.fr/stage-17010-Bioinformatique-pour-le-traitement-de-d...","Montpellier","","","12/ an","","","","","","","","Oui","","4 jours / an","Analyse des données NGS, Analyse des données RNAseq"
"Master Sciences & Numérique pour la Santé",""," Formation universitaire","","La spécialité BCD a pour objectif de former les étudiants issus des Sciences du vivant (agronomie, biologie moléculaire, cellulaire, physiologie animale et végétale, biochimie), des sciences médicales, de l'informatique ou des mathématiques aux besoins spécifiques de la bioinformatique, des systèmes d'informations, de l'extraction de connaissances et de la modélisation du vivant tout en renforçant les compétences de leur profil initial.
","","","","M1 : licence math, info, physique, EEA, biologie, STAPS + équiv. L3 de la formation pharma/médecine (ou tout équiv. 180 ECTS acquis) - M2 : master 1 ou équiv. (formation continue, VAE, ...)
","","","","","13/ an","","","","","Master","","","Oui","","",""
"Master Biostatistiques",""," Formation universitaire","","Deux objectifs sont visés par la formation. Le premier est de former des chercheurs ou enseignants-chercheurs dans le domaine de la statistique théorique ou appliquée. Le deuxième objectif est de former des statisticiens de haut niveau pour des organismes de recherche ou des entreprises.
","","","","","","","","","10/ an","","","","","Master","","","Oui","","",""
"Projet AMIDEX ""spongex""",""," Formation professionnelle","","","","","","Accès en local aux différents clusters
","","","","","3/ an","","","","","","","","","","","Autre"
"Master STIC pour la Santé",""," Formation universitaire","","","","","","Accès en local aux différents clusters
","","","","","2/ an","","","","","Master","","","","","",""
"Python avancé",""," Formation professionnelle","","","","","","","","","","","15/ an","","","","","","","1","","","1 jours / an","Langages de Programmation & Computer Sciences, Langage Python"
"Criblage de petits composés",""," Formation universitaire","","","","","","","","","","","15/ an","","","","","Master","","1","","","1 jours / an","Autre"
"Introduction au portail MOBYLE",""," Formation professionnelle","","","","","","","http://www.univ-paris-diderot.fr/formation/DocFormation/Formation_Qualifiante_BI...","","","","15/ an","","","","","","","1","","","1 jours / an","Autre"
"Master ISDD",""," Formation universitaire","","","","","","","http://isddteach.sdv.univ-paris-diderot.fr/static/documents/plaquette_isdd_frenc...","","","","","","","","","Master","","","","","",""
"Licence en siences de la vie, Aix-Marseille (AMU)",""," Formation universitaire","","Licence 2 bioinformatique appliquée (Van Helden J)
","","","","","","","","","","","","","","Licence","","","","","",""
"Master de Bioinformatique, Biochimie Structurale et Génomique",""," Formation universitaire","","Analyse statistique des données génomiques.
Méthodes bioinformatiques pour la cis-régulation.
Méthodes bioinformatiques pour la génomique et la protéomique.
Projet informatique lié à la biologie
Ecole doctorale des sciences de la vie et de la santé, AMU
","","","","","","","","","","","","","","Master","","","","","",""
"Ecole d'ingénieurs polytech, filière génie biologique-biotechnologique, AMU",""," Formation universitaire","","Bioinformatique: bases de données et programmation
","","","","","","","","","","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","","","","",""
"Training courses in bioinformatics applied to Musa Genome",""," Formation professionnelle","","18-22 Novembre 2013
","","","","","","","","","","","","","","","","","Non","","","Analyse des données NGS"
"Formation galaxy",""," Formation professionnelle","","Octobre 2013
Juin 2012
","","","","","","","","","","","","","","","","","Non","","","Framework Galaxy"
"Formation bioinformatique LMI LAPSE Dakar",""," Formation professionnelle","","Novembre 2013
","","","","","","","","","","","","","","","","","Non","","","Analyse des données NGS"
"Formation bioinformatique IRD Montpellier",""," Formation professionnelle","","Septembre 2013 (25 personnes) et Octobre 2012 (32 personnes)
","","","","","","","","","","","","","","","","","Non","","","Analyse des données NGS"
"Formation introduction à la bioinformatique, Dassa",""," Formation professionnelle","","Juillet 2013
","","","","","","","","","","","","","","","","","Non","","","Analyse des données NGS"
"Bioinformatics School, Sao Paulo",""," Formation professionnelle","","21-26 novembre 2011
","","","","","","","","","","","","","","","","","Non","","","Bioinformatique & Génomique végétale"
"Bioinformatique appliquée à l'analyse de séquences biologiques, Montpellier",""," Formation professionnelle","","06-10 juin 2011
","","","","","","","","","","","","","","","","","Non","","","Bioinformatique & Génomique végétale"
"Formation ARCAD SP1-SP4, Analyse de données de polymorphisme, Montpellier",""," Formation professionnelle","","09-13 Mai 2011
","","","","","","","","","","","","","","","","","Non","","","Bioinformatique & Génomique végétale"
"Bioinformatique appliquée, Analyse de séquences, Montpellier",""," Formation professionnelle","","21-25 février 2011
","","","","","","","","","","","","","","","","","","","","Bioinformatique & Génomique végétale"
"Encontro França-Brasil de BIoinformatica, Universidad Estadual de Santa Cruz (UESC)",""," Formation professionnelle","","08-12 novembre 2010
","","","","","","","","","","","","","","","","","Non","","","Bioinformatique & Génomique végétale"
"SUPAGRO",""," Formation universitaire","","Février 2012, 2013 et 2014
","","","","","","","","","","","","","","Autre (Diplôme universitaire, école d'ingénieur ...)","","","","","",""
"Biostatistique avec R",""," Formation professionnelle","","Apprendre à se servir du logiciel R dans le contexte de l’analyse de données biologiques tout en consolidant ses connaissances de base en biostatistique
","","","","Personnel IHU-A-ICM, gratuit
","","","","","18/ an","","","","","","","1","Oui","","3 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"Initiation à la programmation en R",""," Formation professionnelle","","Se familiariser avec R dans le but d’utiliser ce logiciel pour faire des modèles linéaires
","","","","Personnel IHU-A-ICM, gratuit
","","","","","10/ an","","","","","","","1","Oui","","3 jours / an","Langages de Programmation & Computer Sciences, Langage R"
"Galaxy : packages and workflow deploiement.",""," Formation professionnelle","","","","","","","","","","","15/ an","","","","","","","1","Non","","1 jours / an","Framework Galaxy"
"Infrastructure informatique distribuée de France Grilles: Grilles et Cloud",""," Formation professionnelle","","","","","","","","","","","8/ an","","","","","","","1","Non","","1 jours / an","Langages de Programmation & Computer Sciences"
"Analyse de gènes différentiellement à partir de données RNAseq et sous l'environnement Galaxy",""," Formation professionnelle","","La formation s’adresse à un public de biologistes et de bio-informaticiens désireux de faire leur premiers pas sous Galaxy et de maîtriser l’analyse d’expression différentielle de gènes à partir de données RNAseq.
L'analyse d’expression différentielle des gènes entre deux conditions expérimentales est réalisée avec la suite d’outils DESeq que nous avons interfacé pour l’environnement Galaxy.  Cette formation alterne des présentations des méthodes, concepts et outils du RNAseq avec des tutoriels pratiques durant lesquels vous utiliserez les outils bio-informatiques du serveur Galaxy de la plate-forme eBio.
","","","","étudiants et chercheurs de l'I2BC qui accueille la plate-forme eBio.
","","","","","25/ an","","","","","","","2","Oui","","2 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Participation à l'atelier de Bioinformatique de Roscoff",""," Formation professionnelle","Initiation au traitement des données de génomique obtenues par séquençage à haut débit","Session RNAseq de la formation
Tutorat de 3 participants
","Analyse différentielle de l’expression des gènes","","","","http://www.france-bioinformatique.fr/en/evenements/EBA2016","Roscoff","","","30/ an","","","","","","","1","Oui","","5 jours / an","Analyse des données NGS, Framework Galaxy, Analyse des données RNAseq"
"Analyse de données métagénomiques 16S",""," Formation professionnelle","Analyse de données métagénomiques 16S","







Objectifs
Cette formation est dédiée à l'analyse de données de type ""métagénomique amplicon"" issues des technolo-gies de séquençage 454 et Illumina. La formation couvre les grandes étapes d'un pipeline d'analyse bioinformatique sous Galaxy (FROGS) pour transformer les séquences en tables d'abondances puis présente des outils statistiques sous R (phyloseq) qui permettent de décrire et comparer les échantillons à partir de ces tables.

 
Programme

Jours 1 et 2 : Analyses Bioinformatiques sous Galaxy
Introduction générale
Brefs rappels sur l'environnement Galaxy
Présentation des données issues des différentes technologies de séquençage
Prétraitement des données
Clustering des séquences, construction des OTUs
Détection de chimères
Annotation taxonomique
Filtrage des données de comptages
Outils de visualisation
Construction de workflow et configuration de FROGS
Limite des données et des méthodes 
Jour 3 et 4 :  Analyses Statistiques sous Rstudio
Introduction générale
Import, manipulation et visualisation des données
Mesure de diversités : Unifrac, Bray-Curtis, etc.
Ordination et réduction de dimension : MDS
Clustering et Heatmap
Comparaison d'échantillons : PERMANOVA, adonis
▫ Introduction générale
▫ Brefs rappels sur l'environnement Galaxy
▫ Présentation des données issues des différentes technologies de séquençage ▫ Prétraitement des données
▫ Clustering des séquences, construction des OTUs
▫ Détection de chimères
▫ Annotation taxonomique
▫ Filtrage des données de comptages
▫ Outils de visualisation
▫ Construction de workflow et configuration de FROGS
▫ Limite des données et des méthodes





Jour 3 : Analyses Statistiques sous Rstudio

	▫  Introduction générale
	

	▫  Import et manipulation des données
	

	▫  Mesure de diversités : Unifrac, Bray-Curtis, etc.
	

	▫  Ordination et réduction de dimension : MDS
	

	▫  Clustering et Heatmap
	

	▫  Comparaison d'échantillons : PERMANOVA, adonis 
	








","Aucun des termes ci-dessus ne convient","","27-03-2017","Ce cycle est ouvert à l'ensemble des agents de l'INRA et aux extérieurs.
","http://migale.jouy.inra.fr/?q=fr/formations","","","","22/ an","","","","","","","1","Oui","","3 jours / an","Analyse des données NGS, Framework Galaxy, Metagénomique"
"Galaxy : first step",""," Formation professionnelle",""," 

Le programme de cette introduction à Galaxy est le suivant : présentation de Galaxy, se connecter à l’instance toulousaine, commencer à utiliser certains outils bioinformatiques standards, la gestion des fichiers dans galaxy. Découvrir les bonnes pratiques dans Galaxy. Organisée en collaboration avec la plateforme Bioinfo Genotoul.


","","","","Avoir un compte sur la plateforme Bioinfo Genotoul (demande via un formulaire web sur notre site), s’inscrire (via notre site web) et payer 150 euros la journée pour un académique et 500 euros la journée pour un privé.
","","","","","20/ an","","","","","","","2","Oui","","1 jours / an","Framework Galaxy"
"Spectrométrie de masse, analyse protéomique et interprétation des données",""," Formation professionnelle","","","","","","","","","","","10/ an","","","","","","","","Oui","","5 jours / an","Autre"
"Analyse protéomique à haut débit, interprétation des données, ESBS / TPS, Strasbourg Illkirch",""," Formation universitaire","","","","","","","","","","","65/ an","","","","","Master","","","Oui","","2 jours / an",""
"Formation continue INRA",""," Formation professionnelle","","Bioanalyse, analyse de séquences (alignement, blast), bases de données, analyse de NGS via galaxy (Chi-Seq, RNA-seq).
Fouille de texte et de données pour l'analyse de promoteurs et la construction de réseaux biologiques (réseau RULBI). Forme une dizaine de personnes par session.
 
","","","","","","","","","","","","","","","","","","","","Analyse des données NGS, Autre"
"Initiation à la plateforme web GALAXY : L’analyse de données biologiques pour tous !",""," Formation professionnelle","","Présentation
L’analyse des données biologiques nécessite de plus en plus l’utilisation de ressources et d’environnements informatiques difficiles à maîtriser pour le biologiste.
Cette formation présente et décompose l’utilisation de l’environnement Galaxy.
En se basant sur une plateforme web, comme c’est la cas avec Mobyle, cet environnement propose une nouvelle approche pour rendre l’analyse biologique plus aisée pour les non- informaticiens.
Objectifs 
Prise en main de l’environnement Galaxy et des différentes fonctionnalités proposées.
Organisation pédagogique 
La formation comprendra un exposé théorique avec démonstrations pratiques complété par une rapide application sur la manipulation de données de régions génomiques.
Public visé
Chercheurs et ingénieurs, biologistes et bio-informaticiens possédant des compétences en développement bio-informatique souhaitant intégrer des outils dans le portail web Galaxy.
Pré-requis
Aucun.
","","","","Pas de pré-requis.
","","","","","45/ an","","","","","","","5","Oui","","1 jours / an","Framework Galaxy"
