"Nom de la plateforme","Domaines d'activité","Description des expertises","Mots clés"
"ISfinder","Biologie
","ISfinder est le Centre International de Référence des Séquences d'Insertion (IS) Procaryotes, en co-tutelle entre le LMGM et l’Unité de Microbiologie Appliquée (Université Catholique de Louvain, Belgique). Les IS sont des éléments génétiques mobiles (EGM) de petite taille qui codent essentiellement pour les fonctions nécessaires à leur transposition. Les transposases (enzymes qui assurent la transposition des IS) sont de loin les protéines les plus représentées dans les génomes. ISfinder est une plateforme d’annotation des IS bactériennes, développée dans un souhait de contribuer à la compréhension de la diversité des éléments génétiques mobiles et de leur impact sur leurs génomes hôtes. ISfinder joue de nombreux rôles parmi lesquels : répertorier les IS dans les banques de données publiques (et dans certains cas, privées) ; analyser les génomes bactériens pour leur contenu en IS ; maintenir une nomenclature cohérente et distribuer les noms officiels pour la communauté ; établir une phylogénie au fur et au mesure de l’identification de nouvelles séquences ; et, fournir des informations sur les IS. La base assure aussi une classification des différents IS en famille en fonction de la nature de leur transposase, de leur organisation génétique, de leurs extrémités et de leur spécificité d’insertion. En fournissant une vue globale et détaillée des différents types d’IS, ISfinder alimente également les études de nouveaux groupes d’EGM. Outre une base de données (www-is.biotoul.fr), le site met à disposition de la communauté scientifique deux outils spécifiques : ISbrowser, qui permet de visualiser la distribution des IS complets et partiels dans des génomes procaryotes annotés de façon experte par nos soins et ISsaga, qui est un outil d’annotation semi-automatique des IS dans les génomes procaryotes. Nous sommes parmi les experts mondiaux reconnus dans le domaine des éléments transposables procaryotes. Nous possédons une double spécificité : une compréhension de la diversité de structure et d’organisation des TE (y compris les IS) ainsi qu’une connaissance de la mécanistique des différents processus de la transposition. Nous avons apporté des contributions capitales dans les deux domaines. Ces deux spécificités sont très complémentaires et s’avèrent essentielles pour la maintenance et le développement du site ISfinder.","Analyse de séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Bioinformatique structurale
Analyse des structures, recherche d'homologues et de motifs structuraux
Curation de collections de données
Développements technologiques de l‘Information et de la Communication
Outils
Interfaces, portails web
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Comparaison des génomes
"
"SIGENAE","Agro-alimentaire
Environnement
Biologie
","Analyse de données issues des technologies à haut débit : séqueçage et génotypage.
Développement de logiciel.
Bases de données",""
"CAZy","Biologie
Biomédical
Biotechnologie
Agro-alimentaire
Environnement
","Recherche, identification, classement en familles/sous-familles, des enzymes d'assemblage et déconstruction des sucres complexes dans les données génomiques et métagénomique et interprétation des résultats (relations séquence:structure:fonction). Applications dans le domaine médical (microbiote intestinal), agroalimentaire (rumen, enzymes pour la modification des polysaccharides alimentaires), environnemental (échantillons provenant de sols, de milieux marins, etc), biotechnologique (enzymes pour biocarburants) et biologique (évolution des génomes et adaptation à l'environnement)","Aucun des termes ci-dessus ne convient
"
"PACA-Bioinfo","Biomédical
Biotechnologie
Environnement
","Génomique procaryote et virale. Transcriptomique. Métagénomique. Protéomique. Biologie Structurale (EM and X-ray crystallography)","Analyse de données de séquençage NGS
Analyse de séquences
Bioinformatique structurale
Biostatistiques
Cartographie
Evolution et phylogénie
Génomique comparative
Protéomique
Aucun des termes ci-dessus ne convient
"
"IMGT","","",""
"South Green","Biotechnologie
Biologie
","The South Green platform is a local network of scientists gathering Bioinformatics skills based on the Agropolis campus that hosts research institutes such as CIRAD, IRD, INRA, SupAgro, Bioversity international as well as the CGIAR consortium.
Based on this strong local community in the field of agriculture, food, biodiversity and environment, this network of national and international scope, develops bioinformatics applications and resources dedicated to genetics and genomics of tropical and Mediterranean plants. South Green relies on the computer technical platforms of its partner institutes.
The objectives of South Green are:
Promote the original tools from methods developed within the network,
Propose a single web portal for access to the tools developed by the network,
Promote exchange and collaborative developments within the network,
Promote interoperability developed within the network applications,
Provide training for biologists and bioinformaticians,
Ensure the maintenance and development, infrastructure and software applications via requests for funding in partnership,
Promote high quality process within the network (e.g. certifications),
Promote South Green visibility at the national and international level.
","Analyse de données de séquençage NGS
Analyse de séquences
Bioinformatique structurale
Evolution et phylogénie
Génomique comparative
"
"TAGC-BCF","Biomédical
Biologie
","The expertise of the TAGC-BCF s'articulent autour de la génomique et la bioinformatique appliquées à l'étude des pathologies. Notre approche est multidisciplinaire et s'appuie sur la biologie des systèmes.
Nos domaines d'expertise sont notamment:
l'analyse de données de séquencage haut débit:
recherche et analyse de régions régulatrices
recherche de variants génétiques et régulateurs
analyse du transcriptome
épigénétique

analyse et modélisation de réseaux d'intéractions
analyse statistique de données génomiques
intégration de données publiques
fouille de données
génétique humaine
génétique des organismes modèles eucaryotes
","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Génomique (DNA-seq)
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Panels (amplicons, captures)
Exomes
Génomes complets
Analyse de la régulation de l’expression des gènes
Chip-seq
Petits et longs ARN non-codants
Profils de méthylation
Accessibilité de la chromatine
Analyse de séquences
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Apprentissage automatique
Intégration de données hétérogènes
Ontologies
Bioinformatique structurale
Analyse des structures, recherche d'homologues et de motifs structuraux
Prédictions des propriétés structurales
Modélisation comparative et de novo de structures
Modifications post-traductionnelles
Modélisation des interactions protéines/protéines, protéines/peptides et protéines/acides nucléiques
Biologie des systèmes
Fonctionnement des systèmes biologiques complexes
Analyse et modélisation multi-échelle
Modélisation des réseaux métaboliques
Modélisation des réseaux de régulation
Systèmes dynamiques
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Inférence et analyse des réseaux biologiques
Statistique génétique
Cartographie
Clonage positionnel
Localisation de QTL
Curation de collections de données
Développements technologiques de l‘Information et de la Communication
Outils
Intégration d'outils
Interopérabilité
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Environnements de calcul
Cluster
Cloud
GPU
Parallélisation
Ecologie
Génétique des populations
E-learning
Evolution moléculaire
Gènes et génomes
Datation des spéciations
Détection de sélection
Génomique comparative
Comparaison des génomes
Comparaison des voies fonctionnelles et régulatrices
Génomique : Puces
Biopuces ADN
Génotypage
Biopuces ARN
Expression
Métabolomique et fluxomique
Analyse des réseaux métaboliques
Protéomique
Data identity and mapping (database search engine, spectral library search, de novo sequencing)
Analyse différentielle statistique
Analyse de second niveau
"
"URGI","Environnement
Biologie
Agro-alimentaire
Informatique
","L’activité de recherche de l’URGI (intégration de données, annotation des répétitions, structure et dynamique des génomes) est étroitement liée aux 2 composantes de la plateforme (Système d’Information et analyse des génomes). D’une part, la plateforme bénéficie de l’expertise acquise coté recherche (analyse et développement d’outils), d’autre part elle offre un support solide à notre activité de recherche grâce aux ressources et aux compétences de son personnel (principalement des Ingénieurs).
 
Les domaines de compétence et d’expertise des agents de la plateforme sont axé principalement sur :
Le développement d’interface (Java J2EE)
Le développement de pipelines d’analyses (Python)
Les bases de données (PostgreSQL, MySQL)
Les technologies NoSQL (ElasticSearch, SolR)
L'intégration de données (ETL Talend) dans des domaines aussi variés que la génomique et la génétique (génome annotation, RNA-Seq, polymorphisme, génétique d’association, phénotype, ressources génétiques)
L'analyse des génomes (structure et dynamique)
    Analyse du polymorphisme (SNP, variants structuraux)
    RNA-Seq
    Annotation de gènes (structurale et fonctionnelle)
    Annotation des répétitions (spécifiquement les éléments transposables)

","Analyse de données de séquençage NGS
Analyse de séquences
Cartographie
Evolution et phylogénie
Génomique comparative
"
"Plateforme de présentation","","",""
"Orphanet","Biomédical
","Le domaine d’expertise d’Orphanet est celui des maladies rares dans leurs aspects médicaux (histoire naturelle, diagnostic et prise en charge), épidémiologiques (prévalence, incidence, prévalence à la naissance, distribution géographique et par âge d’apparition et de décès), génétiques (déterminants génétiques de causalité, de susceptibilité), phénotypiques (fréquence d’occurrence des présentations phénotypiques des maladies), nosologiques (classification multi-dimensionnelle), terminologiques (interopérabilité sémantique). La couverture du domaine est aussi géographique, car représentant également l’expertise, l’offre de diagnostic et des soins et l’état d’avancement de la recherche dans 41 pays.
Orphanet se définit comme une offre de données et de services à forte valeur ajoutée, cette valeur provenant du fait que ces données sont intégrées, qualifiées, expertisées et contrôlées du point de vue de la qualité.","Apprentissage automatique
Intégration de données hétérogènes
Représentation des connaissances
Ontologies
Web sémantique
Curation de collections de données
Développements technologiques de l‘Information et de la Communication
Outils
Interopérabilité
Interfaces, portails web
Données
Intégration de données
Bases de données et systèmes d’informations
"
"iCONICS","Biomédical
Biotechnologie
Biologie
Informatique
","L'Institut du Cerveau et de la Moelle épinière (ICM), situé sur le site de l’Hôpital de la Pitié-Salpêtrière, constitue un pôle majeur de recherche fondamentale et clinique sur le système nerveux, où 650 chercheurs, ingénieurs et médecins couvrent l’ensemble des disciplines de la neurologie dans le but d’accélérer les découvertes sur le fonctionnement du cerveau, et les développements de traitements pour des maladies comme Alzheimer, Parkinson, la sclérose en plaques, ou l'épilepsie.
La plate-forme iCONICS développe et met en œuvre une expertise, des méthodes et des outils afin de répondre aux besoins de la recherche biomédicale en neurosciences : de l'annotation sémantique et la structuration informatique des informations, à la mise à disposition d’outils facilitant l’analyse et la visualisation des données à haut-débit, jusqu’à l’analyse statistique et intégrative de ces données.
L’expertise de la plate-forme iCONICS couvre ainsi les volets suivants :
standardisation, contrôle, annotation et référencement de données (« data management »)
développement et déploiement de bases de données et applicatifs pour la gestion et l’exploitation de données cliniques, omiques et imagerie
analyses de puces à ADN (génotypage, transcriptomique, méthylation)
analyses de données de séquençage à haut-débit (NGS) : variants (panels de gènes – capture, amplicons –, « whole-exome »), expression (ARN codants ou non codants – RNA-seq, single-cell, miR-seq), épigénomique (ouverture de la chromatine – ATAC-seq –, interactions protéines-ADN – ChIP-seq –, marques de méthylation – Bisulfite-seq)
analyses biostatistiques : support généraliste (tests, modèles, croisements de données), intégration de données hétérogènes et de grandes dimensions (typiquement données génétiques, omiques, cliniques et neuro-imagerie)
développement et mise à disposition de logiciels spécialisés avec interfaces graphiques (e.g. filtrage de données d’exomes, visualisation de données transcriptomiques, analyse intégrative de données multimodales)
Au-delà des maladies et modèles relatifs au système nerveux central, iCONICS propose son soutien à tout projet de recherche biomédicale visant à mieux comprendre les mécanismes biologiques sous-jacents aux pathologies humaines, depuis le dessin des études jusqu’au traitement, la visualisation et l’interprétation des résultats.
 ","Analyse de données de séquençage NGS
Alignements de lectures sur des génomes
Transcriptomique (RNA-seq)
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Analyse de variants
Panels (amplicons, captures)
Exomes
Génomes complets
Analyse de la régulation de l’expression des gènes
Chip-seq
Petits et longs ARN non-codants
Profils de méthylation
Accessibilité de la chromatine
Apprentissage automatique
Extraction de connaissances
Intégration de données hétérogènes
Ontologies
Web sémantique
Bioimagerie
Microscopie
Imagerie médicale
Analyse et modélisation multi-échelle
Biostatistiques
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Développements technologiques de l‘Information et de la Communication
Outils
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Génomique : Puces
Biopuces ADN
Phylogénétiques
Génotypage
Biopuces ARN
Expression
"
"IFB Core","","","Analyse de données de séquençage NGS
"
"ARTbio","","",""
"AuBi","Biologie
Agro-alimentaire
Environnement
Biotechnologie
Biomédical
","La plateforme fait apparaître une forte expertise en génomique, épigénomique et métagénomique. Les modèles biologiques sont variés (micro-organismes, plantes, animaux) donnant un caractère généraliste à de nombreux outils.
Cette plate-forme fait suite à une structuration des laboratoires de l'Université Clermont Auvergne faisant de la recherche dans ce domaine :
GDEC (http://www6.clermont.inra.fr/umr1095/) UMR 1095 INRA, Université Clermont Auvergne ;
GReD (https://www.gred-clermont.fr/) UMR 6293 CNRS, U1103 INSERM, Université Clermont Auvergne ;  
LIMOS (http://limos.isima.fr/) UMR 6158 CNRS, Université Clermont Auvergne ;
LMGE (http://www.lmge.univ-bpclermont.fr/) UMR 6023 CNRS, Université Clermont Auvergne ;  
M2ISH (http://www.uca.fr/laboratoires-/collegium-sciences-de-la-vie-sante-envir...) UMR 1071, Université Clermont Auvergne ;
MEDIS (http://www.uca.fr/laboratoires-/collegium-sciences-de-la-vie-sante-envir...) UMR 454 INRA, Université Clermont Auvergne ;  
NeuroDOL (http://neurodol.uca.fr/) UMR1107 Inserm, Université Clermont Auvergne ;
PIAF (http://www6.clermont.inra.fr/piaf) UMR A547 INRA, Université Clermont Auvergne ;
UMRH (http://umrh-bioinfo.clermont.inra.fr/Intranet/web/UMRH) UMR1213 INRA, VetAgroSup ;
UNH (https://www6.clermont.inra.fr/unh/) UMR INRA, Université Clermont Auvergne ;
","Analyse de données de séquençage NGS
Méthodologie
Assemblage de génomes et transcriptomes
Alignements de lectures sur des génomes
Analyse de génomes
Annotation structurale et fonctionnelle des génomes
Analyse différentielle de l’expression des gènes
Analyses de transcrits et transcrits variants
Panels (amplicons, captures)
Génomes complets
Analyse de la régulation de l’expression des gènes
Chip-seq
Petits et longs ARN non-codants
Profils de méthylation
Accessibilité de la chromatine
Analyse de la conformation des chromosomes
Métagénomique, métatranscriptomique
Algorithmique des séquences
Alignement (multiple) de séquences
Annotation de séquences
Recherche de motifs
Prédiction d'homologie/orthologie
Apprentissage automatique
Extraction de connaissances
Intégration de données hétérogènes
Représentation des connaissances
Ontologies
Web sémantique
Bioimagerie
Microscopie
Imagerie médicale
Analyse d’images
Bioinformatique structurale
Analyse des structures, recherche d'homologues et de motifs structuraux
Prédictions des propriétés structurales
Modélisation comparative et de novo de structures
Modélisation des interactions protéines/protéines, protéines/peptides et protéines/acides nucléiques
Biologie des systèmes
Génie métabolique
Modélisation des réseaux métaboliques
Modélisation des réseaux de régulation
Statistique descriptive
Tests statistiques
Régression
Analyses multivariées
Réduction de dimension
Statistique génétique
Cartographie génétique
Cartographie génétique et d'hybrides irradiés
Cartographie physique
Clonage positionnel
Localisation de QTL
Curation de collections de données
Outils
Intégration d'outils
Interfaces, portails web
Développement de workflows
Données
Intégration de données
Gestion et transfert de données
Bases de données et systèmes d’informations
Cluster
Cloud
GPU
Parallélisation
Ecologie
Génétique des populations
Biodiversité
Ecologie microbienne
Gènes et génomes
Paléogénomique et génomes ancestraux
Comparaison des génomes
Comparaison des voies fonctionnelles et régulatrices
Phylogénétiques
Génotypage
CGH
Fonctionelles
Expression
Tiling
Traitement du signal
Statistiques exploratoires
Statistiques inférentielles
Analyse des réseaux métaboliques
Identification des métabolites
Data identity and mapping (database search engine, spectral library search, de novo sequencing)
Inférence de protéine et validation
Protéomique quantitative
Analyse différentielle statistique
Protéogénomique
Démultiplexage de spectres
Analyse de second niveau
Analyse des modifications post-traductionnelles
"
"MMG-GBIT","Biotechnologie
Biomédical
Biologie
","Expertise dans le domaine des maladies rares de la recherche au traitement :
Design et analyse des expériences de séquençage (WES, WGS, RNAseq, CHIPseq)
Recherche de nouveaux gènes par analyses familiales
Analyse des données
Création et hébergement de bases de données de patients et de mutations
Expertise dans le domaine des biotechnologies
Toutes les technologies principales de biologie moléculaire
Développement d'outils spécifiques : validation d'hypothèses thérapeutiques
Développement d'outils d'analyse des données issues des technologies à haut débit (Array CGH, NGS, Génotypage à haut débit ...)
 ","Analyse de données de séquençage NGS
Analyse de séquences
Curation de collections de données
Développements technologiques de l‘Information et de la Communication
Outils
Données
Cluster
Cloud
Parallélisation
"
